Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Trade (% of GDP),NE.TRD.GNFS.ZS,Afghanistan,AFG,..,..,..,..,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Albania,ALB,75.4078455964825,71.801006339647,74.809862823171,78.1942739956599,76.8081181330347
Trade (% of GDP),NE.TRD.GNFS.ZS,Algeria,DZA,62.4143160110881,59.6951285987184,55.9256678771781,55.3214030214594,58.065491770819
Trade (% of GDP),NE.TRD.GNFS.ZS,American Samoa,ASM,174.805598755832,162.407132243685,159.165424739195,161.437908496732,171.830985915493
Trade (% of GDP),NE.TRD.GNFS.ZS,Andorra,AND,..,..,..,..,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Angola,AGO,79.3329227828897,62.8885160890192,53.3701580675988,52.2568222278462,66.3780133263399
Trade (% of GDP),NE.TRD.GNFS.ZS,Antigua and Barbuda,ATG,156.154794504309,139.786704053953,136.872934273148,133.870867961469,135.064152858016
Trade (% of GDP),NE.TRD.GNFS.ZS,Argentina,ARG,28.4067936452275,22.4862260889792,26.0938878488799,25.2896011376779,30.7625359549926
Trade (% of GDP),NE.TRD.GNFS.ZS,Armenia,ARM,75.778866962639,71.6820743427575,76.0779674593548,87.202376539837,92.473107021212
Trade (% of GDP),NE.TRD.GNFS.ZS,Aruba,ABW,162.87029623699,145.833333333333,142.239281033514,143.812104787715,148.429867411026
Trade (% of GDP),NE.TRD.GNFS.ZS,Australia,AUS,42.4729114392829,41.6256213779265,40.8177619704852,41.9397560640113,43.3822260663091
Trade (% of GDP),NE.TRD.GNFS.ZS,Austria,AUT,103.503535251069,102.42731538918,100.982078278741,104.938844932748,107.88167678734
Trade (% of GDP),NE.TRD.GNFS.ZS,Azerbaijan,AZE,69.4832251953347,72.6015079073189,90.0773187345677,90.4023156823216,91.6725765369825
Trade (% of GDP),NE.TRD.GNFS.ZS,"Bahamas, The",BHS,83.6454577178085,73.4545056019693,70.3876768120596,71.7574609956626,75.662051772527
Trade (% of GDP),NE.TRD.GNFS.ZS,Bahrain,BHR,175.567836938356,154.931374967452,139.620555512011,143.086667256454,150.806054558909
Trade (% of GDP),NE.TRD.GNFS.ZS,Bangladesh,BGD,44.5140801968096,42.0859963070382,31.3341501346142,29.9997306724343,32.5146317240884
Trade (% of GDP),NE.TRD.GNFS.ZS,Barbados,BRB,89.7634349896275,87.3425971178303,78.6457705868291,76.4464625371237,75.4632896269602
Trade (% of GDP),NE.TRD.GNFS.ZS,Belarus,BLR,110.651424367582,115.914826201946,125.209322899662,133.367754723012,139.393736250171
Trade (% of GDP),NE.TRD.GNFS.ZS,Belgium,BEL,158.783215919076,154.192546509323,157.66502598438,165.32583634966,166.29065466732
Trade (% of GDP),NE.TRD.GNFS.ZS,Belize,BLZ,126.553411621206,124.31670074436,112.825830703482,112.900018652614,114.714696662931
Trade (% of GDP),NE.TRD.GNFS.ZS,Benin,BEN,65.2682749404551,56.7563131849476,58.9869283378276,61.4765969588474,61.7951944903448
Trade (% of GDP),NE.TRD.GNFS.ZS,Bermuda,BMU,76.5167474588353,73.2954985174785,72.7499093828891,72.3924284503794,77.3342345263485
Trade (% of GDP),NE.TRD.GNFS.ZS,Bhutan,BTN,96.3256143683133,97.88095484199,83.4088850323327,81.2067393683411,84.1870116266903
Trade (% of GDP),NE.TRD.GNFS.ZS,Bolivia,BOL,85.2644695625131,67.9328451905248,56.4010345026573,56.7046527566598,57.1099646119643
Trade (% of GDP),NE.TRD.GNFS.ZS,Bosnia and Herzegovina,BIH,90.5522806874185,89.3416599451284,89.3082486231922,97.9595638753426,99.8968921160089
Trade (% of GDP),NE.TRD.GNFS.ZS,Botswana,BWA,118.088526862789,112.501672250529,100.464668753216,82.0092687424725,88.0634318560814
Trade (% of GDP),NE.TRD.GNFS.ZS,Brazil,BRA,24.6854058189339,26.953625936564,24.533682080614,24.3197343743903,28.8762033735972
Trade (% of GDP),NE.TRD.GNFS.ZS,British Virgin Islands,VGB,..,..,..,..,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Brunei Darussalam,BRN,102.420968814048,89.893790077624,87.3182670815342,85.1767490461377,93.896319873231
Trade (% of GDP),NE.TRD.GNFS.ZS,Bulgaria,BGR,130.28729035681,126.700942430032,122.833824180651,129.676597014807,128.851881427473
Trade (% of GDP),NE.TRD.GNFS.ZS,Burkina Faso,BFA,58.8235624937426,59.0891813101662,57.8931727994406,59.2687802020168,60.5956256236488
Trade (% of GDP),NE.TRD.GNFS.ZS,Burundi,BDI,42.995025805263,22.8382834157721,23.0437252570449,22.2402931011977,26.5997024647774
Trade (% of GDP),NE.TRD.GNFS.ZS,Cabo Verde,CPV,101.046439747406,104.066088981317,104.1918617279,113.303166506465,116.951067174899
Trade (% of GDP),NE.TRD.GNFS.ZS,Cambodia,KHM,129.61223231027,127.86406699658,126.950028975988,124.787773548276,124.898612832521
Trade (% of GDP),NE.TRD.GNFS.ZS,Cameroon,CMR,50.832389307633,45.5401468277001,40.6386315268268,39.1990216052629,40.587602877028
Trade (% of GDP),NE.TRD.GNFS.ZS,Canada,CAN,64.3786621564923,66.1649020669781,65.3636845215556,65.1010608504649,66.447716838606
Trade (% of GDP),NE.TRD.GNFS.ZS,Cayman Islands,CYM,..,..,..,117.436583958714,117.117122140321
Trade (% of GDP),NE.TRD.GNFS.ZS,Central African Republic,CAF,53.0950920179825,53.1451477769621,50.53064402191,57.1435457117119,49.6602000024318
Trade (% of GDP),NE.TRD.GNFS.ZS,Chad,TCD,76.6265231668971,66.5641643497065,63.2969251336898,73.5750081822223,74.2047537321657
Trade (% of GDP),NE.TRD.GNFS.ZS,Channel Islands,CHI,..,..,..,..,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Chile,CHL,65.6346281218887,59.3491104775939,56.057861087739,56.0261589675707,58.1770506334677
Trade (% of GDP),NE.TRD.GNFS.ZS,China,CHN,44.9052159543496,39.4641693353018,36.8944150170789,37.6324132404263,37.5657841021374
Trade (% of GDP),NE.TRD.GNFS.ZS,Colombia,COL,37.4874656411103,38.3607641184454,36.2026529842021,35.2829149424588,36.5347527968973
Trade (% of GDP),NE.TRD.GNFS.ZS,Comoros,COM,39.2358231954392,37.8049520714563,37.1328797158337,40.164358921352,42.996153341343
Trade (% of GDP),NE.TRD.GNFS.ZS,"Congo, Dem. Rep.",COD,78.6901501261946,61.2543451633175,71.6476359605599,65.0831937677164,71.1733345469506
